,bengali,TAP index,Dine-in,Beverages,Desserts,kannada,telugu,hindi,speed,gujarati,tindex,25_35,marathi,assamese,gender ratio,MAP index,volume,70_100,Fast Food,tamil,sindhi,marwari,18_25,Bakery,oriya,Cafe,urdu,50_70,35_50,punjabi,population,malayalam,store_id,store-name
26,0,0.249515585,65,9,9,0,0,0,3.04428828,0,0.653427459,0,0,0,0,0,302,0,21,0,0,0,0,7,0,5,0,0,0,0,0,0,27,"TJ AXIS MALL, SPENCER'S RETAIL LTD, AXIS MALL, CF BLOCK, STREET NO 106, SUB: CENTRAL BUSINESS DISTRICT, ACTION AREA 1, NEW TOWN, KOLKATA 700156"
27,0,0.183051345,43,4,6,0,0,0,2.790294821,0,0.394223575,0,0,0,0,0,167,0,14,0,0,0,0,6,0,4,0,0,0,0,0,0,28,"TJ CITY MALL BARASAT, CITY MALL BARASAT, GROUND FLOOR - 1/3, JESSORE ROAD, DAKBUNGLOW MORE, BARASAT, 24 PGS NORTH"
28,125584,0.101975769,597,54,172,1996,19747,33037,5.031548428,10734,1.112739443,45092,2670,1459,1.042139371,307.7218789,850,27742,212,8494,1234,4725,20790,96,25295,106,2178,81006,72726,14406,248947,2743,29,"TJ FORTIS KH, 111 - A, RASHBIHARI AVENUE, KOLKATA -700029"
29,0,0.113886248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,"CITY CENTER - SILIGURI, UTTRAYAN TOWNSHIP, 302 MATIGARA , SILIGURI – 734010"
30,0,0.341024333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,"TJ COSMOS MALL, TEA JUNCTION ( COSMOS MALL ), SEVOKE ROAD, 2ND MILE, OPP – POWER HOUSE, SILIGURI – 734001"
31,24951,0.129895234,315,36,124,493,5061,10447,8.521997519,2210,0.593602923,11386,640,372,1.12864418,129.6224719,768,4912,130,1930,301,1732,5040,72,5514,38,402,17610,18384,3886,57682,663,32,"TJ CCNT HANGOUT, HANGOUT FOOD COURT, PRIME AREA,PLOT NO-11/D/5,ACTION AREA-2, DTL NO-11,NEW TOWN,RAJAR HAT,KOLKATA-700157."
32,213451,0.442820431,160,12,58,2707,37383,68937,7.824392629,15081,0.830046636,88610,4047,2457,1.159625029,189.6115226,986,38014,83,15668,1923,8511,39655,33,47483,11,13314,144460,147748,35433,460756,4540,33,"HATIBAGAN, 138/2 BIDHAN SARANI , KOLKATA-700004"
33,103050,0.225651231,454,59,116,1830,16762,40681,6.090743604,7237,1.802774872,59794,1799,742,1.495987941,410.2863501,1667,19830,220,15046,1174,4027,28724,50,15250,49,54490,78930,88062,17185,276533,2753,34,"TJ ESPLANADE METRO, JAWAHARLAL NEHRU ROAD, NEW MARKET AREA, DHARMATALA, TALTALA, KOLKATA 700087"
34,157500,0.194743291,514,54,153,2652,25707,42907,5.384097961,13383,0.922432523,60163,3402,1887,1.067318705,452.5098592,754,33449,196,10804,1589,5997,26714,88,35224,95,3307,101641,97212,20324,321282,3583,35,"TJ LAKE MALL, LAKE MALL, RASH BEHARI AVENUE, LAKE MALL FOOD-COURT , 4TH FLOOR, KOLKATA – 700 029"
35,4725,0.191810166,62,5,25,158,1511,3058,5.959225278,687,1.195951785,3767,164,25,1.586008102,192.9883721,1082,723,24,824,105,352,1809,15,1074,3,2359,4397,5809,1615,16597,156,36,"TJ AVANI MALL, AVANI RIVERSIDE MALL, 32 JAGAT BANERJEE GHAT RD, HOWRAH"
36,0,0.187713535,31,1,7,0,0,0,7.479805794,0,0.293244669,0,0,0,0,0,333,0,6,0,0,0,0,6,0,2,0,0,0,0,0,0,37,"TJ AIRPORT ARRIVAL , DOMESTIC AIRPORT ARRIVAL LOUNGE, NSCBIA, KOLKATA 700052, NEAR GATE NO 3C"
37,121145,0.268108889,666,88,225,2275,22137,43783,6.575784062,15620,0.957605348,59499,2769,1061,1.152586188,311.2774869,956,26671,289,12973,1506,6081,27772,109,22001,114,27527,88349,93188,21525,297270,3218,38,"TJ SAMILTON, SAMILTON HOTEL GROUND FLOOR, 35 A, SARAT BOSE ROAD, OPP: LAXMI NARAYAN TEMPLE, KOLKATA 700020"
39,122340,0.232672283,622,82,208,2043,19190,46796,6.598271048,14554,0.953343553,70412,2223,752,1.214703902,361.7250281,955,24397,269,16837,1393,5239,31920,94,17025,97,56461,88480,105386,20839,322297,3122,40,"TJ FORTIS DC, 2/7, Sarat Bose Road, West Bengal 700020 , 1ST Floor"
